blocksize,workgroupsize,time
1,1,26.006767
1,2,14.146418
1,4,7.916981
1,8,4.156366
1,16,2.102652
1,32,1.065177
1,64,0.541927
1,128,0.277155
1,256,0.146935
1,512,0.110535
1,1024,0.107216
2,2,19.035066
2,4,10.094295
2,8,5.257612
2,16,2.621110
2,32,1.307484
2,64,0.651219
2,128,0.328174
2,256,0.166429
2,512,0.088331
2,1024,0.064095
2,2048,0.067771
4,4,13.221247
4,8,6.571039
4,16,3.357825
4,32,1.670191
4,64,0.828896
4,128,0.412206
4,256,0.208277
4,512,0.107661
4,1024,0.058935
4,2048,0.060616
4,4096,0.060507
8,8,8.604389
8,16,4.228888
8,32,2.134041
8,64,1.065903
8,128,0.530475
8,256,0.263521
8,512,0.134206
8,1024,0.070295
8,2048,0.054074
8,4096,0.054423
8,8192,0.054055
16,16,5.270405
16,32,2.577880
16,64,1.305666
16,128,0.650055
16,256,0.326887
16,512,0.164026
16,1024,0.084292
16,2048,0.047722
16,4096,0.049311
16,8192,0.048601
16,16384,0.049993
32,32,3.099303
32,64,1.497525
32,128,0.758578
32,256,0.379152
32,512,0.191614
32,1024,0.097533
32,2048,0.052474
32,4096,0.046006
32,8192,0.046016
32,16384,0.046393
32,32768,0.048491
64,64,1.805042
64,128,0.853550
64,256,0.433386
64,512,0.217894
64,1024,0.111109
64,2048,0.058251
64,4096,0.047034
64,8192,0.046374
64,16384,0.046606
64,32768,0.047988
64,65536,0.048039
128,128,0.977815
128,256,0.440032
128,512,0.224747
128,1024,0.113654
128,2048,0.059634
128,4096,0.047051
128,8192,0.046566
128,16384,0.046425
128,32768,0.047692
128,65536,0.047840
128,131072,0.045422