,strategy_full,threads,node,executor,bandwidth,bw_1,bw_serial,speedup,speedup_vs_serial_bandwidth
0,Cell-Based (JuNe),1,gpu-nvidia-h100,CPU,0.8184155687438979,0.8184155687438979,0.9118880496833234,1.0,0.8974956619160803
1,Cell-Based (JuNe),1,gpu-nvidia-h200,CPU,0.9648443089185315,0.9648443089185315,1.0792572837316006,1.0,0.8939891566749691
2,Cell-Based (JuNe),2,gpu-nvidia-h100,CPU,3.9344274577892175,0.8184155687438979,0.9118880496833234,4.807371228076424,4.31459482241877
3,Cell-Based (JuNe),2,gpu-nvidia-h200,CPU,10.912808508443163,0.9648443089185315,1.0792572837316006,11.310434655177728,10.111405939009682
4,Cell-Based (JuNe),4,gpu-nvidia-h100,CPU,5.932433724592222,0.8184155687438979,0.9118880496833234,7.248681417067012,6.505660126429349
5,Cell-Based (JuNe),4,gpu-nvidia-h200,CPU,17.45746179852919,0.9648443089185315,1.0792572837316006,18.0935531641336,16.175440334457516
6,Cell-Based (JuNe),8,gpu-nvidia-h100,CPU,9.02332838085701,0.8184155687438979,0.9118880496833234,11.025362573082512,9.895215080393468
7,Cell-Based (JuNe),8,gpu-nvidia-h200,CPU,23.417364764830758,0.9648443089185315,1.0792572837316006,24.270615008424173,21.697666643363974
8,Cell-Based (JuNe),16,gpu-nvidia-h100,CPU,12.372084318517341,0.8184155687438979,0.9118880496833234,15.117117502427263,13.56754737910412
9,Cell-Based (JuNe),16,gpu-nvidia-h200,CPU,26.70807275142949,0.9648443089185315,1.0792572837316006,27.68122535890362,24.746715314336015
10,Cell-Based (JuNe),32,gpu-nvidia-h100,CPU,14.964386797949608,0.8184155687438979,0.9118880496833234,18.284582270248,16.410333267495254
11,Cell-Based (JuNe),32,gpu-nvidia-h200,CPU,27.220267246561228,0.9648443089185315,1.0792572837316006,28.212082503830807,25.221295845644356
12,Cell-Based (JuNe),64,gpu-nvidia-h100,CPU,17.947880086839895,0.8184155687438979,0.9118880496833234,21.930032580375098,19.682109106564955
13,Cell-Based (JuNe),64,gpu-nvidia-h200,CPU,24.992694026204276,0.9648443089185315,1.0792572837316006,25.90334398532954,23.157308644506386
14,Cell-Based (JuNe),128,gpu-nvidia-h100,CPU,8.918764667815786,0.8184155687438979,0.9118880496833234,10.89759898080175,9.780547810570669
15,Cell-Based (JuNe),128,gpu-nvidia-h200,CPU,5.8185399810890885,0.9648443089185315,1.0792572837316006,6.030548065947486,5.391244579764259
16,Cell-Based (NeoN),1,gpu-nvidia-h100,CPU,1.7639559387309158,1.7639559387309158,0.9118880496833234,1.0,1.9343996659935339
17,Cell-Based (NeoN),1,gpu-nvidia-h200,CPU,3.964790417243614,3.964790417243614,1.0792572837316006,1.0,3.673628593485234
18,Cell-Based (NeoN),2,gpu-nvidia-h100,CPU,2.9324136403916428,1.7639559387309158,0.9118880496833234,1.662407532980318,3.215760576542262
19,Cell-Based (NeoN),2,gpu-nvidia-h200,CPU,7.428041603051245,3.964790417243614,1.0792572837316006,1.873501704086376,6.882549430075023
20,Cell-Based (NeoN),4,gpu-nvidia-h100,CPU,5.06527791721542,1.7639559387309158,0.9118880496833234,2.87154446774881,5.554714659298878
21,Cell-Based (NeoN),4,gpu-nvidia-h200,CPU,13.056883759376234,3.964790417243614,1.0792572837316006,3.293209069157706,12.09802700078264
22,Cell-Based (NeoN),8,gpu-nvidia-h100,CPU,9.35647477004428,1.7639559387309158,0.9118880496833234,5.304256509250354,10.260552019837913
23,Cell-Based (NeoN),8,gpu-nvidia-h200,CPU,22.182810708760954,3.964790417243614,1.0792572837316006,5.594951655523522,20.55377438089876
24,Cell-Based (NeoN),16,gpu-nvidia-h100,CPU,15.016066122745388,1.7639559387309158,0.9118880496833234,8.512721771014727,16.467006150546773
25,Cell-Based (NeoN),16,gpu-nvidia-h200,CPU,30.847485348030823,3.964790417243614,1.0792572837316006,7.78035711897137,28.582142379779622
26,Cell-Based (NeoN),32,gpu-nvidia-h100,CPU,19.955748863222393,1.7639559387309158,0.9118880496833234,11.313065380521707,21.883989893444202
27,Cell-Based (NeoN),32,gpu-nvidia-h200,CPU,34.88361012075082,3.964790417243614,1.0792572837316006,8.798349080202444,32.321866756496206
28,Cell-Based (NeoN),64,gpu-nvidia-h100,CPU,19.087003648638014,1.7639559387309158,0.9118880496833234,10.820567129568001,20.931301441296952
29,Cell-Based (NeoN),64,gpu-nvidia-h200,CPU,29.973888891093225,3.964790417243614,1.0792572837316006,7.5600184970007955,27.772700117859387
30,Cell-Based (NeoN),128,gpu-nvidia-h100,CPU,8.62593786867285,1.7639559387309158,0.9118880496833234,4.890109599267435,9.459426375494699
31,Cell-Based (NeoN),128,gpu-nvidia-h200,CPU,4.460938301316178,3.964790417243614,1.0792572837316006,1.1251384895188214,4.133340926727129
32,Face-Based (JuNe),1,gpu-nvidia-h100,CPU,0.9118880496833234,0.9118880496833234,0.9118880496833234,1.0,1.0
33,Face-Based (JuNe),1,gpu-nvidia-h200,CPU,1.0792572837316006,1.0792572837316006,1.0792572837316006,1.0,1.0
34,Face-Based (JuNe),2,gpu-nvidia-h100,CPU,1.7991371046232634,0.9118880496833234,0.9118880496833234,1.9729802416514397,1.9729802416514397
35,Face-Based (JuNe),2,gpu-nvidia-h200,CPU,3.3301974195849686,1.0792572837316006,1.0792572837316006,3.0856381233496055,3.0856381233496055
36,Face-Based (JuNe),4,gpu-nvidia-h100,CPU,3.061935371217532,0.9118880496833234,0.9118880496833234,3.357797453624782,3.357797453624782
37,Face-Based (JuNe),4,gpu-nvidia-h200,CPU,6.190829402998524,1.0792572837316006,1.0792572837316006,5.736194229417974,5.736194229417974
38,Face-Based (JuNe),8,gpu-nvidia-h100,CPU,5.181789276633341,0.9118880496833234,0.9118880496833234,5.682484026885593,5.682484026885593
39,Face-Based (JuNe),8,gpu-nvidia-h200,CPU,10.595954357422471,1.0792572837316006,1.0792572837316006,9.817820567109157,9.817820567109157
40,Face-Based (JuNe),16,gpu-nvidia-h100,CPU,7.483406887665058,0.9118880496833234,0.9118880496833234,8.206497376803945,8.206497376803945
41,Face-Based (JuNe),16,gpu-nvidia-h200,CPU,18.321088094813682,1.0792572837316006,1.0792572837316006,16.975644613180055,16.975644613180055
42,Face-Based (JuNe),32,gpu-nvidia-h100,CPU,8.938560254201608,0.9118880496833234,0.9118880496833234,9.80225616215253,9.80225616215253
43,Face-Based (JuNe),32,gpu-nvidia-h200,CPU,22.47147701620481,1.0792572837316006,1.0792572837316006,20.82124193640672,20.82124193640672
44,Face-Based (JuNe),64,gpu-nvidia-h100,CPU,14.375147007037043,0.9118880496833234,0.9118880496833234,15.76415768583565,15.76415768583565
45,Face-Based (JuNe),64,gpu-nvidia-h200,CPU,23.616638349232502,1.0792572837316006,1.0792572837316006,21.88230619818147,21.88230619818147
46,Face-Based (JuNe),128,gpu-nvidia-h100,CPU,12.700076261557783,0.9118880496833234,0.9118880496833234,13.927231819704415,13.927231819704415
47,Face-Based (JuNe),128,gpu-nvidia-h200,CPU,18.43737991471255,1.0792572837316006,1.0792572837316006,17.083396325076574,17.083396325076574
48,Face-Based (NeoN),1,gpu-nvidia-h100,CPU,0.7685900778617405,0.7685900778617405,0.9118880496833234,1.0,0.8428557410404196
49,Face-Based (NeoN),1,gpu-nvidia-h200,CPU,1.0461990822794909,1.0461990822794909,1.0792572837316006,1.0,0.9693694896013962
50,Face-Based (NeoN),2,gpu-nvidia-h100,CPU,1.0620621746307868,0.7685900778617405,0.9118880496833234,1.3818317530008997,1.1646848261687552
51,Face-Based (NeoN),2,gpu-nvidia-h200,CPU,1.2706299823274771,1.0461990822794909,1.0792572837316006,1.214520260865637,1.177318885385877
52,Face-Based (NeoN),4,gpu-nvidia-h100,CPU,1.6783023960589512,0.7685900778617405,0.9118880496833234,2.183611842515688,1.8404697776681962
53,Face-Based (NeoN),4,gpu-nvidia-h200,CPU,2.2349213835752693,1.0461990822794909,1.0792572837316006,2.1362295393203303,2.0707957382023743
54,Face-Based (NeoN),8,gpu-nvidia-h100,CPU,3.1390530463179545,0.7685900778617405,0.9118880496833234,4.084170660973104,3.442366688990026
55,Face-Based (NeoN),8,gpu-nvidia-h200,CPU,3.9082933630777674,1.0461990822794909,1.0792572837316006,3.7357071223597873,3.621280506502208
56,Face-Based (NeoN),16,gpu-nvidia-h100,CPU,5.907738233439572,0.7685900778617405,0.9118880496833234,7.686461748081919,6.4785784126584245
57,Face-Based (NeoN),16,gpu-nvidia-h200,CPU,6.591004517601454,1.0461990822794909,1.0792572837316006,6.2999524939754,6.106981733597977
58,Face-Based (NeoN),32,gpu-nvidia-h100,CPU,10.018584850613081,0.7685900778617405,0.9118880496833234,13.035017155679826,10.986639044225102
59,Face-Based (NeoN),32,gpu-nvidia-h200,CPU,11.80941576857629,1.0461990822794909,1.0792572837316006,11.287924037216293,10.942169162615688
60,Face-Based (NeoN),64,gpu-nvidia-h100,CPU,12.627692001773998,0.7685900778617405,0.9118880496833234,16.429683865949617,13.847853369894791
61,Face-Based (NeoN),64,gpu-nvidia-h200,CPU,17.530849405507837,1.0461990822794909,1.0792572837316006,16.75670501192859,16.243438584814374
62,Face-Based (NeoN),128,gpu-nvidia-h100,CPU,14.03799516704207,0.7685900778617405,0.9118880496833234,18.26460628544222,15.394428265527907
63,Face-Based (NeoN),128,gpu-nvidia-h200,CPU,20.706144304946303,1.0461990822794909,1.0792572837316006,19.791782133694017,19.185549745241
64,Fused Cell-Based (NeoN),1,gpu-nvidia-h100,CPU,2.5944033853726385,2.5944033853726385,0.9118880496833234,1.0,2.845089796136282
65,Fused Cell-Based (NeoN),1,gpu-nvidia-h200,CPU,6.07073535549571,6.07073535549571,1.0792572837316006,1.0,5.6249195136360415
66,Fused Cell-Based (NeoN),2,gpu-nvidia-h100,CPU,4.317332388417491,2.5944033853726385,0.9118880496833234,1.6640944938473339,4.734498264251621
67,Fused Cell-Based (NeoN),2,gpu-nvidia-h200,CPU,11.853011152569945,6.07073535549571,1.0792572837316006,1.9524835886380159,10.982563037784102
68,Fused Cell-Based (NeoN),4,gpu-nvidia-h100,CPU,7.899902556028765,2.5944033853726385,0.9118880496833234,3.0449785105002434,8.663237289678497
69,Fused Cell-Based (NeoN),4,gpu-nvidia-h200,CPU,21.2838534579898,6.07073535549571,1.0792572837316006,3.5059761646045025,19.720833742626713
70,Fused Cell-Based (NeoN),8,gpu-nvidia-h100,CPU,14.832374159368053,2.5944033853726385,0.9118880496833234,5.717065527663753,16.265564796598635
71,Fused Cell-Based (NeoN),8,gpu-nvidia-h200,CPU,34.00072793774034,6.07073535549571,1.0792572837316006,5.600759372084997,31.50382068322084
72,Fused Cell-Based (NeoN),16,gpu-nvidia-h100,CPU,23.869009098770306,2.5944033853726385,0.9118880496833234,9.200191933661834,26.17537219295662
73,Fused Cell-Based (NeoN),16,gpu-nvidia-h200,CPU,46.16244447987461,6.07073535549571,1.0792572837316006,7.604094360345441,42.772418751036845
74,Fused Cell-Based (NeoN),32,gpu-nvidia-h100,CPU,32.92210369826252,2.5944033853726385,0.9118880496833234,12.689662634530467,36.103229677914484
75,Fused Cell-Based (NeoN),32,gpu-nvidia-h200,CPU,51.13836982689442,6.07073535549571,1.0792572837316006,8.423752121001275,47.38292768345307
76,Fused Cell-Based (NeoN),64,gpu-nvidia-h100,CPU,32.98660816935127,2.5944033853726385,0.9118880496833234,12.714525565041749,36.17396694781418
77,Fused Cell-Based (NeoN),64,gpu-nvidia-h200,CPU,49.52353322108535,6.07073535549571,1.0792572837316006,8.157748661577337,45.886679633844665
78,Fused Cell-Based (NeoN),128,gpu-nvidia-h100,CPU,31.327582138994018,2.5944033853726385,0.9118880496833234,12.075062157111079,34.3546361309081
79,Fused Cell-Based (NeoN),128,gpu-nvidia-h200,CPU,48.380029644626006,6.07073535549571,1.0792572837316006,7.969385389338142,44.82715138817408
80,Fused Face-Based (NeoN),1,gpu-nvidia-h100,CPU,1.2115229263295073,1.2115229263295073,0.9118880496833234,1.0,1.3285873487981774
81,Fused Face-Based (NeoN),1,gpu-nvidia-h200,CPU,1.7272549165585458,1.7272549165585458,1.0792572837316006,1.0,1.6004107107681056
82,Fused Face-Based (NeoN),2,gpu-nvidia-h100,CPU,1.6633247997641463,1.2115229263295073,0.9118880496833234,1.372920613894977,1.8240449585250937
83,Fused Face-Based (NeoN),2,gpu-nvidia-h200,CPU,2.145429811028455,1.7272549165585458,1.0792572837316006,1.242103751137729,1.987876147206063
84,Fused Face-Based (NeoN),4,gpu-nvidia-h100,CPU,2.6791657866437935,1.2115229263295073,0.9118880496833234,2.211403291195432,2.938042435772903
85,Fused Face-Based (NeoN),4,gpu-nvidia-h200,CPU,3.782623385908127,1.7272549165585458,1.0792572837316006,2.1899624367228796,3.5048393399111157
86,Fused Face-Based (NeoN),8,gpu-nvidia-h100,CPU,4.990133428471497,1.2115229263295073,0.9118880496833234,4.11889310554763,5.472309271082617
87,Fused Face-Based (NeoN),8,gpu-nvidia-h200,CPU,6.834659147334843,1.7272549165585458,1.0792572837316006,3.956948729347085,6.33274312840732
88,Fused Face-Based (NeoN),16,gpu-nvidia-h100,CPU,9.420544469651517,1.2115229263295073,0.9118880496833234,7.775787205441079,10.330812508095752
89,Fused Face-Based (NeoN),16,gpu-nvidia-h200,CPU,11.647599972739005,1.7272549165585458,1.0792572837316006,6.743416887153035,10.792236613374236
90,Fused Face-Based (NeoN),32,gpu-nvidia-h100,CPU,16.589208151982625,1.2115229263295073,0.9118880496833234,13.692855324035964,18.19215435243795
91,Fused Face-Based (NeoN),32,gpu-nvidia-h200,CPU,21.75131029244208,1.7272549165585458,1.0792572837316006,12.592993705746858,20.153962007312607
92,Fused Face-Based (NeoN),64,gpu-nvidia-h100,CPU,21.90482160418149,1.2115229263295073,0.9118880496833234,18.080402052766324,24.021393428489937
93,Fused Face-Based (NeoN),64,gpu-nvidia-h200,CPU,35.104957338805484,1.7272549165585458,1.0792572837316006,20.324132241435475,32.52695892626072
94,Fused Face-Based (NeoN),128,gpu-nvidia-h100,CPU,25.238644590790983,1.2115229263295073,0.9118880496833234,20.8321642474033,27.67734986718573
95,Fused Face-Based (NeoN),128,gpu-nvidia-h200,CPU,35.16065337323766,1.7272549165585458,1.0792572837316006,20.356377646498874,32.57856481789724
96,Global Face-Based (JuNe),1,gpu-nvidia-h100,CPU,0.9236125765516596,0.9236125765516596,0.9118880496833234,1.0,1.0128574191452644
97,Global Face-Based (JuNe),1,gpu-nvidia-h200,CPU,1.0790656581236047,1.0790656581236047,1.0792572837316006,1.0,0.9998224467780904
98,Global Face-Based (JuNe),2,gpu-nvidia-h100,CPU,1.715552290416742,0.9236125765516596,0.9118880496833234,1.8574371267461702,1.8813189744207215
99,Global Face-Based (JuNe),2,gpu-nvidia-h200,CPU,3.1311803898554498,1.0790656581236047,1.0792572837316006,2.901751497958227,2.9012362826305833
100,Global Face-Based (JuNe),4,gpu-nvidia-h100,CPU,2.9621501673246797,0.9236125765516596,0.9118880496833234,3.2071349422113467,3.2483704204187815
101,Global Face-Based (JuNe),4,gpu-nvidia-h200,CPU,5.606824105245906,1.0790656581236047,1.0792572837316006,5.1959990228913915,5.195076456523838
102,Global Face-Based (JuNe),8,gpu-nvidia-h100,CPU,4.672150009161928,0.9236125765516596,0.9118880496833234,5.0585604048459,5.123600436242643
103,Global Face-Based (JuNe),8,gpu-nvidia-h200,CPU,9.565965191608765,1.0790656581236047,1.0792572837316006,8.86504460557395,8.863470588341858
104,Global Face-Based (JuNe),16,gpu-nvidia-h100,CPU,6.541009800753473,0.9236125765516596,0.9118880496833234,7.081984337171507,7.173040378174719
105,Global Face-Based (JuNe),16,gpu-nvidia-h200,CPU,15.157348503470406,1.0790656581236047,1.0792572837316006,14.046734218034176,14.044240175116457
106,Global Face-Based (JuNe),32,gpu-nvidia-h100,CPU,7.6987659606228664,0.9236125765516596,0.9118880496833234,8.335492777032641,8.442665701449275
107,Global Face-Based (JuNe),32,gpu-nvidia-h200,CPU,21.55318386205803,1.0790656581236047,1.0792572837316006,19.97393179905014,19.970385363105013
108,Global Face-Based (JuNe),64,gpu-nvidia-h100,CPU,9.865060320357959,0.9236125765516596,0.9118880496833234,10.680950618049737,10.818280077015874
109,Global Face-Based (JuNe),64,gpu-nvidia-h200,CPU,20.531360884335566,1.0790656581236047,1.0792572837316006,19.026980174716805,19.023601873083575
110,Global Face-Based (JuNe),128,gpu-nvidia-h100,CPU,6.7779981704143495,0.9236125765516596,0.9118880496833234,7.338572841569835,7.432927948521953
111,Global Face-Based (JuNe),128,gpu-nvidia-h200,CPU,10.921656631206126,1.0790656581236047,1.0792572837316006,10.121401370698681,10.119604283275073
112,Global Face-Based (NeoN),1,gpu-nvidia-h100,CPU,0.6785603658758794,0.6785603658758794,0.9118880496833234,1.0,0.7441268323579051
113,Global Face-Based (NeoN),1,gpu-nvidia-h200,CPU,0.922614918501802,0.922614918501802,1.0792572837316006,1.0,0.8548609607820318
114,Global Face-Based (NeoN),2,gpu-nvidia-h100,CPU,0.9509428080475146,0.6785603658758794,0.9118880496833234,1.4014122484446119,1.0428284572626585
115,Global Face-Based (NeoN),2,gpu-nvidia-h200,CPU,1.0942014783274534,0.922614918501802,1.0792572837316006,1.1859785229836561,1.0138467396246633
116,Global Face-Based (NeoN),4,gpu-nvidia-h100,CPU,1.4521756527179819,0.6785603658758794,0.9118880496833234,2.1400832199262436,1.5924933474260214
117,Global Face-Based (NeoN),4,gpu-nvidia-h200,CPU,1.997761806313148,0.922614918501802,1.0792572837316006,2.165325713090825,1.851052419498861
118,Global Face-Based (NeoN),8,gpu-nvidia-h100,CPU,2.7002712787199212,0.6785603658758794,0.9118880496833234,3.979412023622152,2.9611872637849133
119,Global Face-Based (NeoN),8,gpu-nvidia-h200,CPU,3.5821932067916396,0.922614918501802,1.0792572837316006,3.8826525942249255,3.319128127081968
120,Global Face-Based (NeoN),16,gpu-nvidia-h100,CPU,4.88053189938681,0.6785603658758794,0.9118880496833234,7.19248005752158,5.352117402000937
121,Global Face-Based (NeoN),16,gpu-nvidia-h200,CPU,6.306987283373223,0.922614918501802,1.0792572837316006,6.835991004367121,5.843821837890604
122,Global Face-Based (NeoN),32,gpu-nvidia-h100,CPU,7.540992370992522,0.6785603658758794,0.9118880496833234,11.11322256680683,8.269647105926353
123,Global Face-Based (NeoN),32,gpu-nvidia-h200,CPU,10.797355958429563,0.922614918501802,1.0792572837316006,11.702993027646858,10.004431863639613
124,Global Face-Based (NeoN),64,gpu-nvidia-h100,CPU,9.282281991633475,0.6785603658758794,0.9118880496833234,13.679375422482849,10.179190301766743
125,Global Face-Based (NeoN),64,gpu-nvidia-h200,CPU,13.762977386393597,0.922614918501802,1.0792572837316006,14.917358380398568,12.752267317397413
126,Global Face-Based (NeoN),128,gpu-nvidia-h100,CPU,9.961362266195248,0.6785603658758794,0.9118880496833234,14.680141616195362,10.923887279424912
127,Global Face-Based (NeoN),128,gpu-nvidia-h200,CPU,16.04226044873792,0.922614918501802,1.0792572837316006,17.387818175310144,14.864166951248906
